API/UWI,Operator Alias,Well/Lease Name,Well Number,Entity Type,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Perforated Interval Length,Field,State,District,Basin,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,EUR Primary Product,EUR Calc Date,BE Oil EUR,BE Oil Delta EUR,BE Oil Delta EUR Percent,BE Gas EUR,BE Gas Delta EUR,BE Gas Delta EUR Percent,BE B-Factor,BE Initial Rate,BE Final Rate,BE End Date,BE Initial Decline,BE Oil RRR,BE Gas RRR,Full Oil EUR,Full Gas EUR,Full B-Factor,Full Final Rate,Full End Date,Full Initial Decline,Full Oil RRR,Full Gas RRR,Surface Latitude (WGS84),Surface Longitude (WGS84),Reported Operator,Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID
42461404580000,CONCHO RESOURCES INC.,HASEL53 UNIT,0,WELL,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-12-01,2017-12-01,9251.0000,10092.0000,11634.0000,,70.0000,0.0000,298,326,10092,9251.0000,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,0.0000,10092,9251.0000,,,,,,,,,916.6670,920.00,1090.9090,0.0000,1090.9000,9251.0000,1,10092.0000,1,11634.0000,,70.0000,,,,,,,1,1,1,(N/A),(N/A),P819689,2016-12-24,19650.00000,,,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.3351941,-101.9449090,COG OPERATING LLC,10092.0000,9251.0000,,-196414
42461404550000,"PARSLEY ENERGY OPERATIONS, LLC",MORGAN 25-26H,4415,WELL,UPTON (TX),TREND AREA) R 40 EX,OIL,ACTIVE,H,2017-05-01,2017-12-01,97826.0000,80860.0000,97164.0000,,583.0000,1.0000,399,330,18099,20686.0000,,69111.0000,79319.0000,82331.0000,0.0000,,,,,,,,,,,,,,,,620.0000,827.0000,4550200.0000,758.0000,3694,2197.0000,,,,,,,,1330.00,1209.8190,1210.00,826.5700,749.9000,1681.4000,24822.0000,2,18614.0000,2,22751.0000,,137.0000,,,,,,,1,1,8,,,P819683,2017-02-01,20223.00000,,,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,OIL,2018-01-31,401408,,,497450,,,1.58,611,3,2066-08-12,0.828511,324242,0,401408,497450,1.58,3.38,2066-08-12,0.828511,324242,0,31.4173622,-101.9151080,"PARSLEY ENERGY OPERATIONS, LLC",80860.0000,97826.0000,,-196381
42461392240000,CONCHO RESOURCES INC.,NEAL RANCH '57' UNIT,0,WELL,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-12-01,2017-12-01,16322.0000,3324.0000,6044.0000,,36.0000,0.0000,527,107,3324,16322.0000,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,0.0000,3324,16322.0000,,,,,,,,,4910.3490,4910.00,203.6520,0.0000,203.7000,16322.0000,1,3324.0000,1,6044.0000,,36.0000,,,,,,,1,1,1,(N/A),(N/A),P776384,2014-03-29,18175.00000,,,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.4894086,-102.0654132,COG OPERATING LLC,3324.0000,16322.0000,,-175563
42461382860000,CONCHO RESOURCES INC.,LYNCH15 P1,9H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2012-11-01,2017-12-01,420100.0000,221773.0000,291790.0000,215652.0000,1751.0000,2.0000,110,62,219,382.0000,330,71121.0000,109876.0000,89434.0000,107284.0000,100893,167423,128797.0000,773.0000,152194,141065.0000,236015.0000,180401.0000,1082.0000,174378.0000,218266.0000,411466.0000,286844.0000,214440.0000,1721.0000,646.0000,595.0000,4474194.0000,746.0000,1840,4481.0000,636,23358,44589,11949,,,,920.00,1753.2090,1890.00,570.3830,1085.6000,410.6000,32976.0000,4,20040.0000,2,24264.0000,,146.0000,,9130.00000,14518.00000,,43.200000,2013-01-17,1,1,62,,,18228,2012-08-31,14685.00000,0.00000,5388.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,15,0,0,191,Y,GC&SF RR CO,(N/A),P-440,OIL,2018-02-01,554012,-7602,-1.35,991427,-24130,-2.38,1.84,658,5,2062-02-11,0.796725,334079,0,554012,991427,1.84,5.42,2062-02-11,0.796725,334079,0,31.3699959,-101.9900350,COG OPERATING LLC,23372.0000,40976.0000,8082.0000,128607185
42461385250000,CONCHO RESOURCES INC.,MEREDITH,21H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-02-01,2017-12-01,459265.0000,72556.0000,149100.0000,8153.0000,895.0000,1.0000,155,0,537,0.0000,436,26618.0000,104636.0000,44057.0000,4456.0000,48260,206488,82675.0000,496.0000,6023,71972.0000,282224.0000,119009.0000,714.0000,7006.0000,,,,,,168.0000,149.0000,1158900.0000,193.0000,0,4406.0000,20,0,68481,311,,,,,,6330.00,0.0000,0.0000,0.0000,39763.0000,3,8606.0000,4,13632.0000,5,82.0000,5,9260.00000,13600.00000,,42.300000,2013-02-21,1,1,58,,,15602,2013-01-21,13875.00000,0.00000,4340.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,69,0,0,45,C,CCSD&RGNG RR CO,(N/A),P-440,GAS,2018-02-01,72539,5,0.01,1058178,1930,0.18,1.87,1305,25,2046-04-09,0.792989,0,603313,72539,1058178,1.87,24.92,2046-04-09,0.792989,0,603313,31.3999578,-102.0545735,COG OPERATING LLC,0.0000,56001.0000,248.0000,128607218
42461384860000,CONCHO RESOURCES INC.,DAWN,17H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-05-01,2017-12-01,732632.0000,104679.0000,226784.0000,88485.0000,1361.0000,1.0000,296,24,6718,0.0000,4983,42939.0000,135402.0000,65506.0000,31519.0000,58464,244961,99291.0000,596.0000,51523,75885.0000,386028.0000,140223.0000,841.0000,74687.0000,,,,,,451.0000,1530.0000,4236267.0000,706.0000,801,9910.0000,371,10410,124329,5030,,,,3390.00,12897.9660,7000.00,77.5320,294.9000,80.8000,45890.0000,1,13533.0000,2,21181.0000,2,127.0000,2,9410.00000,13750.00000,,42.200000,2013-04-08,1,1,56,,,15526,2013-03-09,13913.00000,0.00000,4340.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,69,0,0,45,C,CCSD&RGNG RR CO,(N/A),P-440,OIL,2018-02-01,208887,-177,-0.08,2079800,86331,4.33,1.31,445,2,2062-08-12,0.851733,104990,0,208887,2079800,1.31,1.56,2062-08-12,0.851733,104990,0,31.3980532,-102.0619276,COG OPERATING LLC,8458.0000,109091.0000,3919.0000,128608464
42461385190000,PIONEER NATURAL RESOURCES COMPANY,XBC GIDDINGS ESTATE,3069H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-10-01,2017-12-01,154183.0000,94900.0000,120597.0000,215456.0000,724.0000,1.0000,57,26,10884,12915.0000,33200,37660.0000,59262.0000,47537.0000,112607.0000,53091,83133,66947.0000,402.0000,150726,71342.0000,110655.0000,89785.0000,539.0000,187053.0000,,,,,,256.0000,451.0000,1986800.0000,331.0000,688,1654.0000,786,10701,17188,11956,,,,1760.00,2232.5340,1620.00,447.9220,567.9000,416.0000,13524.0000,2,10884.0000,1,13037.0000,,78.0000,,9536.00000,15774.00000,,42.700000,2013-10-06,1,1,51,,,16349,2013-01-13,15889.00000,0.00000,6238.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,3,0,0,544,,THROCKMORTON CSL,(N/A),P-440,OIL,2018-02-01,113628,-76371,-39.40,192066,-136838,-43.43,0.08,25,1,2029-02-08,0.249492,23221,0,147814,260166,0.96,1.00,2057-08-11,0.831525,57407,0,31.4629338,-102.0172286,"PIONEER NATURAL RES. USA, INC.",9504.0000,21218.0000,10746.0000,128626212
42461385150000,PIONEER NATURAL RESOURCES COMPANY,XBC GIDDINGS ESTATE,3065H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-10-01,2017-12-01,128458.0000,125671.0000,147081.0000,375167.0000,882.0000,1.0000,47,34,14449,10951.0000,57860,49980.0000,50139.0000,58337.0000,195715.0000,70424,70075,82103.0000,493.0000,261808,94568.0000,92843.0000,110042.0000,660.0000,325147.0000,,,,,,340.0000,382.0000,2421433.0000,404.0000,907,1347.0000,1393,14130,14088,21033,,,,1120.00,1380.4820,1020.00,724.3850,889.2000,673.3000,11467.0000,2,14449.0000,1,16274.0000,,98.0000,,9656.00000,15898.00000,,42.700000,2013-10-07,1,1,51,TARGA PIPELINE MID-CONTINENT LLC,PLAINS PIPELINE L.P.,16349,2013-02-20,16005.00000,,6242.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,3,0,0,544,,THROCKMORTON CSL,(N/A),P-440,OIL,2018-02-01,149901,-87779,-36.09,152659,-126982,-46.25,0.05,32,1,2029-09-07,0.249935,30041,0,200258,208559,0.99,1.05,2063-01-11,0.834027,80398,0,31.4625528,-102.0191688,"PIONEER NATURAL RES. USA, INC.",12542.0000,17314.0000,18997.0000,128639694
42461386460000,PIONEER NATURAL RESOURCES COMPANY,XBC GIDDINGS ESTATE,3071H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-10-01,2017-12-01,182456.0000,103799.0000,134208.0000,334252.0000,805.0000,1.0000,67,28,11934,15557.0000,51709,41281.0000,71227.0000,53152.0000,175314.0000,58167,99544,74758.0000,449.0000,234465,78107.0000,131878.0000,100087.0000,601.0000,290607.0000,,,,,,281.0000,543.0000,2227433.0000,371.0000,749,1913.0000,1204,11671,20006,18384,,,,1930.00,2373.2270,1760.00,421.3670,517.0000,391.5000,16291.0000,2,11934.0000,1,14527.0000,,87.0000,,10203.00000,15845.00000,,42.400000,2013-10-01,1,1,51,TARGA PIPELINE MID-CONTINENT LLC,PLAINS PIPELINE L.P.,16349,2013-05-10,15955.00000,,5642.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,544,,THROCKMORTON CSL / LEAGUE 3,(N/A),P-440,OIL,2018-02-01,126781,-71859,-35.78,231196,-163916,-43.33,0.08,26,1,2030-07-04,0.231842,27864,0,165357,313341,0.99,1.00,2060-05-27,0.833610,66440,0,31.4637570,-102.0148134,"PIONEER NATURAL RES. USA, INC.",10361.0000,24589.0000,16478.0000,128639714
42461388500000,DIAMONDBACK E&P LLC,KENDRA B UNIT,2H,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2013-09-01,2017-12-01,550744.0000,114293.0000,206084.0000,128956.0000,1237.0000,1.0000,401,29,10884,16765.0000,14985,39276.0000,119938.0000,59266.0000,53323.0000,61510,183360,92070.0000,552.0000,81859,86997.0000,261685.0000,130611.0000,784.0000,107214.0000,,,,,,291.0000,1802.0000,3548065.0000,591.0000,935,19144.0000,638,12259,100715,10778,,,,6190.00,14791.0910,4820.00,67.6080,161.5000,48.8000,55858.0000,2,10884.0000,1,18332.0000,,110.0000,,9408.00000,16373.00000,,42.900000,2013-08-29,1,1,52,,,18313,2013-07-14,16532.00000,0.00000,6965.00,SPRABERRY,TX,07C,PERMIAN BASIN,USA,7,0,0,329,2,MK&TE RR CO,(N/A),P-440,OIL,2018-02-01,,-81174,-37.23,,-792835,-49.85,,,,,,,,199205,1671072,1.00,1.13,2062-12-12,0.775665,85847,0,31.2934924,-101.9877573,DIAMONDBACK E&P LLC,10416.0000,154064.0000,7103.0000,128639739
