,API/UWI,Production Date,Liquid (bbl),Gas (mcf),Water (bbl),Well Count_x,Operator Alias,Well/Lease Name,Well Number,Entity Type,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count_y,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Perforated Interval Length,Field,State,District,Basin,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,EUR Primary Product,EUR Calc Date,BE Oil EUR,BE Oil Delta EUR,BE Oil Delta EUR Percent,BE Gas EUR,BE Gas Delta EUR,BE Gas Delta EUR Percent,BE B-Factor,BE Initial Rate,BE Final Rate,BE End Date,BE Initial Decline,BE Oil RRR,BE Gas RRR,Full Oil EUR,Full Gas EUR,Full B-Factor,Full Final Rate,Full End Date,Full Initial Decline,Full Oil RRR,Full Gas RRR,Surface Latitude (WGS84),Surface Longitude (WGS84),Reported Operator,Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID,BOE per day,Time Delta
0,42461404170000,2017-05-01,490,424,884.0,1,SUMMIT PETROLEUM LLC,DOROTHY G,12WB,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-11-01,159396.0,92360.0,118926.0,166642.0,714.0,1.0,745,432,490,424.0,884.0,80486.0,122119.0,100839.0,145218.0,,,,,,,,,,,,,,,,158.0,187.0,1137100.0,190.0,11874,37277.0,21424.0,,,,,,,1180.0,1725.812,1730.0,579.437,845.2,318.5,37277.0,7,22337.0,5,28512.0,,171.0,,9355.0,19788.0,,40.0,2017-05-11,1,1,7,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19742,2017-02-13,20231.0,,10433.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.3509462,-102.0615351,SUMMIT PETROLEUM LLC,92360.0,159396.0,166642.0,130029764,17.6775447677,-123 days +00:00:00.000000000
1,42461404170000,2017-06-01,4749,5619,8568.0,1,SUMMIT PETROLEUM LLC,DOROTHY G,12WB,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-11-01,159396.0,92360.0,118926.0,166642.0,714.0,1.0,745,432,490,424.0,884.0,80486.0,122119.0,100839.0,145218.0,,,,,,,,,,,,,,,,158.0,187.0,1137100.0,190.0,11874,37277.0,21424.0,,,,,,,1180.0,1725.812,1730.0,579.437,845.2,318.5,37277.0,7,22337.0,5,28512.0,,171.0,,9355.0,19788.0,,40.0,2017-05-11,1,1,7,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19742,2017-02-13,20231.0,,10433.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.3509462,-102.0615351,SUMMIT PETROLEUM LLC,92360.0,159396.0,166642.0,130029764,179.261023978,-92 days +00:00:00.000000000
2,42461404170000,2017-07-01,18608,25625,33574.0,1,SUMMIT PETROLEUM LLC,DOROTHY G,12WB,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-11-01,159396.0,92360.0,118926.0,166642.0,714.0,1.0,745,432,490,424.0,884.0,80486.0,122119.0,100839.0,145218.0,,,,,,,,,,,,,,,,158.0,187.0,1137100.0,190.0,11874,37277.0,21424.0,,,,,,,1180.0,1725.812,1730.0,579.437,845.2,318.5,37277.0,7,22337.0,5,28512.0,,171.0,,9355.0,19788.0,,40.0,2017-05-11,1,1,7,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19742,2017-02-13,20231.0,,10433.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.3509462,-102.0615351,SUMMIT PETROLEUM LLC,92360.0,159396.0,166642.0,130029764,721.358383739,-62 days +00:00:00.000000000
3,42461404170000,2017-08-01,18787,16374,33897.0,1,SUMMIT PETROLEUM LLC,DOROTHY G,12WB,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-11-01,159396.0,92360.0,118926.0,166642.0,714.0,1.0,745,432,490,424.0,884.0,80486.0,122119.0,100839.0,145218.0,,,,,,,,,,,,,,,,158.0,187.0,1137100.0,190.0,11874,37277.0,21424.0,,,,,,,1180.0,1725.812,1730.0,579.437,845.2,318.5,37277.0,7,22337.0,5,28512.0,,171.0,,9355.0,19788.0,,40.0,2017-05-11,1,1,7,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19742,2017-02-13,20231.0,,10433.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.3509462,-102.0615351,SUMMIT PETROLEUM LLC,92360.0,159396.0,166642.0,130029764,678.388917756,-31 days +00:00:00.000000000
4,42461404170000,2017-09-01,22337,37051,40302.0,1,SUMMIT PETROLEUM LLC,DOROTHY G,12WB,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-11-01,159396.0,92360.0,118926.0,166642.0,714.0,1.0,745,432,490,424.0,884.0,80486.0,122119.0,100839.0,145218.0,,,,,,,,,,,,,,,,158.0,187.0,1137100.0,190.0,11874,37277.0,21424.0,,,,,,,1180.0,1725.812,1730.0,579.437,845.2,318.5,37277.0,7,22337.0,5,28512.0,,171.0,,9355.0,19788.0,,40.0,2017-05-11,1,1,7,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19742,2017-02-13,20231.0,,10433.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.3509462,-102.0615351,SUMMIT PETROLEUM LLC,92360.0,159396.0,166642.0,130029764,898.974618325,0 days 00:00:00.000000000
5,42461404170000,2017-10-01,15515,37026,27993.0,1,SUMMIT PETROLEUM LLC,DOROTHY G,12WB,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-11-01,159396.0,92360.0,118926.0,166642.0,714.0,1.0,745,432,490,424.0,884.0,80486.0,122119.0,100839.0,145218.0,,,,,,,,,,,,,,,,158.0,187.0,1137100.0,190.0,11874,37277.0,21424.0,,,,,,,1180.0,1725.812,1730.0,579.437,845.2,318.5,37277.0,7,22337.0,5,28512.0,,171.0,,9355.0,19788.0,,40.0,2017-05-11,1,1,7,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19742,2017-02-13,20231.0,,10433.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.3509462,-102.0615351,SUMMIT PETROLEUM LLC,92360.0,159396.0,166642.0,130029764,683.748934303,30 days 00:00:00.000000000
6,42461404170000,2017-11-01,11874,37277,21424.0,1,SUMMIT PETROLEUM LLC,DOROTHY G,12WB,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-11-01,159396.0,92360.0,118926.0,166642.0,714.0,1.0,745,432,490,424.0,884.0,80486.0,122119.0,100839.0,145218.0,,,,,,,,,,,,,,,,158.0,187.0,1137100.0,190.0,11874,37277.0,21424.0,,,,,,,1180.0,1725.812,1730.0,579.437,845.2,318.5,37277.0,7,22337.0,5,28512.0,,171.0,,9355.0,19788.0,,40.0,2017-05-11,1,1,7,"WTG GAS PROCESSING, L.P.","PLAINS MARKETING, L.P.",19742,2017-02-13,20231.0,,10433.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,,,,,,,,,,,,,,,,,,,,,,,,31.3509462,-102.0615351,SUMMIT PETROLEUM LLC,92360.0,159396.0,166642.0,130029764,570.26897614,61 days 00:00:00.000000000
7,42461404590000,2017-05-01,20346,16404,18201.0,1,CONCHO RESOURCES INC.,HASEL53 UNIT B,5302BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-12-01,140188.0,132679.0,156044.0,118689.0,936.0,1.0,572,542,20346,16404.0,18201.0,110797.0,112401.0,129531.0,99115.0,,,,,,,,,,,,,,,,788.0,669.0,5394000.0,899.0,10004,13965.0,8949.0,,,,,,,850.0,1056.595,1060.0,946.436,1177.5,716.4,20064.0,2,23626.0,2,26970.0,,162.0,,9039.0,19674.0,,42.0,2017-05-08,1,1,8,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19677,2017-02-05,19776.0,,10635.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,8.0,0,0,1524,,"GC&SF RR CO / TAYLOR, W T",(N/A),P-440,OIL,2018-02-01,391492.0,,,402814.0,,,0.64,776.0,1.0,2065-01-18,0.720537,268817.0,0.0,391492.0,402814.0,0.64,1.0,2065-01-18,0.720537,268817.0,0.0,31.3351633,-101.9450939,COG OPERATING LLC,132679.0,140188.0,118689.0,129978216,713.879197288,-31 days +00:00:00.000000000
8,42461404590000,2017-06-01,23626,20064,21135.0,1,CONCHO RESOURCES INC.,HASEL53 UNIT B,5302BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-12-01,140188.0,132679.0,156044.0,118689.0,936.0,1.0,572,542,20346,16404.0,18201.0,110797.0,112401.0,129531.0,99115.0,,,,,,,,,,,,,,,,788.0,669.0,5394000.0,899.0,10004,13965.0,8949.0,,,,,,,850.0,1056.595,1060.0,946.436,1177.5,716.4,20064.0,2,23626.0,2,26970.0,,162.0,,9039.0,19674.0,,42.0,2017-05-08,1,1,8,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19677,2017-02-05,19776.0,,10635.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,8.0,0,0,1524,,"GC&SF RR CO / TAYLOR, W T",(N/A),P-440,OIL,2018-02-01,391492.0,,,402814.0,,,0.64,776.0,1.0,2065-01-18,0.720537,268817.0,0.0,391492.0,402814.0,0.64,1.0,2065-01-18,0.720537,268817.0,0.0,31.3351633,-101.9450939,COG OPERATING LLC,132679.0,140188.0,118689.0,129978216,834.199391285,0 days 00:00:00.000000000
9,42461404590000,2017-07-01,20115,18927,17994.0,1,CONCHO RESOURCES INC.,HASEL53 UNIT B,5302BH,COM,UPTON (TX),TREND AREA,OIL,ACTIVE,H,2017-05-01,2017-12-01,140188.0,132679.0,156044.0,118689.0,936.0,1.0,572,542,20346,16404.0,18201.0,110797.0,112401.0,129531.0,99115.0,,,,,,,,,,,,,,,,788.0,669.0,5394000.0,899.0,10004,13965.0,8949.0,,,,,,,850.0,1056.595,1060.0,946.436,1177.5,716.4,20064.0,2,23626.0,2,26970.0,,162.0,,9039.0,19674.0,,42.0,2017-05-08,1,1,8,TARGA PL MID-CONT WESTTEX LLC,"ENLINK CRUDE MARKETING, LLC",19677,2017-02-05,19776.0,,10635.0,SPRABERRY,TX,07C,PERMIAN BASIN,USA,8.0,0,0,1524,,"GC&SF RR CO / TAYLOR, W T",(N/A),P-440,OIL,2018-02-01,391492.0,,,402814.0,,,0.64,776.0,1.0,2065-01-18,0.720537,268817.0,0.0,391492.0,402814.0,0.64,1.0,2065-01-18,0.720537,268817.0,0.0,31.3351633,-101.9450939,COG OPERATING LLC,132679.0,140188.0,118689.0,129978216,719.740553782,30 days 00:00:00.000000000
